,B. suaveolens,C. annuum var. grossum,L. chinense Mill.,P. × hybrida ‘Dreams Red’,P. alkekengi var. franchetii,S. nigrum
B. suaveolens,0.0,1.2616685075658087,1.0425062030502357,1.3911354340179227,1.1786784219755357,1.2864652343289202
C. annuum var. grossum,1.2616685075658087,0.0,0.5694917463163737,0.4574904077849449,0.11520783038751797,0.09272820366884515
L. chinense Mill.,1.0425062030502357,0.5694917463163737,0.0,0.9921966573927291,0.4855393167056661,0.5235818653849568
P. × hybrida ‘Dreams Red’,1.3911354340179227,0.4574904077849449,0.9921966573927291,0.0,0.5340311360719913,0.5278072335612859
P. alkekengi var. franchetii,1.1786784219755357,0.11520783038751797,0.4855393167056661,0.5340311360719913,0.0,0.15219736527311667
S. nigrum,1.2864652343289202,0.09272820366884515,0.5235818653849568,0.5278072335612859,0.15219736527311667,0.0
