,B. suaveolens,C. annuum var. grossum,L. chinense Mill.,P. × hybrida ‘Dreams Red’,P. alkekengi var. franchetii,S. nigrum
B. suaveolens,0.0,0.45183399999999996,0.460788,0.474979,0.461426,0.45813499999999996
C. annuum var. grossum,0.45183399999999996,0.0,0.020296,0.034487000000000004,0.020934,0.017643
L. chinense Mill.,0.460788,0.020296,0.0,0.024561,0.019548,0.020874999999999998
P. × hybrida ‘Dreams Red’,0.474979,0.034487000000000004,0.024561,0.0,0.033739000000000005,0.035066
P. alkekengi var. franchetii,0.461426,0.020934,0.019548,0.033739000000000005,0.0,0.021512999999999997
S. nigrum,0.45813499999999996,0.017643,0.020874999999999998,0.035066,0.021512999999999997,0.0
