image,area_um2,perimeter_um,bbox_aspect_ratio,ellipse_major_um,ellipse_minor_um,ellipse_angle_deg,contraction_ratio,num_endpoints,num_branchpoints,length_um,straight_length_um,tortuosity,width_base_um,width_tip_um,width_max_um,curvature_mean_rad,curvature_max_rad,curvature_sum_rad,skeleton_length_um,skeleton_ratio,upper_curv_mean_rad,upper_curv_max_rad,upper_curv_sum_rad,lower_curv_mean_rad,lower_curv_max_rad,lower_curv_sum_rad,species
250528_BS_001_L,5226.918641786293,570.0240853582706,0.3656804733727811,206.276564544503,67.76225104193256,173.17930603027344,0.4942672314267005,72.0,594.0,34.14923732274077,30.29262200000408,1.127312034023868,14.516084502336252,17.923649064547146,20.224040342623866,0.4755621908743578,1.5707963267948966,51.83627880530501,276.643951039314,8.101028682567105,0.7965188453570582,1.5707963267948966,450.0331476267379,0.8125528871319345,1.5707963267948966,305.5198855616074,B. suaveolens
250528_BS_004_L,1968.7456067950009,350.3696739376384,0.3875685557586837,150.28827799127458,23.289436989642205,165.0294952392578,0.3216066608719521,77.0,441.0,25.189961197412845,22.62744595499192,1.113248099123428,14.411016930132469,15.93302576703594,16.278451554318693,0.4016240615466528,1.5707963267948966,35.34291741610545,190.1429521276596,7.548362247861992,0.7924315797860821,1.5707963267948966,265.4645792283375,0.8011061266653974,1.5707963267948966,200.2765316663493,B. suaveolens
250528_BS_005_L,3860.540475284345,6.762340910894869,0.3989962358845671,3.64073339983129,0.4640895592416775,176.40992736816406,-4029.1666666666665,87.0,569.0,14.447436663331324,13.435511993845427,1.0753171646863506,8.92025030845538,10.727132939335709,10.967907569432665,0.4133674547894189,0.7853981633974484,23.56194492299688,249.60516047199127,17.27677831635752,0.8185840012874814,1.5707963267948966,406.8362486398783,0.8201942845606263,3.141592653589793,259.1813939211579,B. suaveolens
250528_BS_006_L,2295.987580398038,1.4558550108966843,0.7236363636363636,0.5877151032255015,0.3856194395728584,27.696304321289062,-18398.5,167.0,351.0,8.510449590568662,7.8870453481952465,1.0790415440575685,18.908626655450988,17.856908108712293,19.69052087441049,0.4547042081801377,1.5707963267948966,17.27875991084523,141.12324048907476,16.582348439672153,0.9100272132778816,2.356194490192345,303.9490892348125,0.8295570962792326,1.5707963267948966,206.5597169735289,B. suaveolens
250528_BS_007_L,1906.972135050917,287.72982911225483,0.7,107.4352797572848,32.278525692872506,148.74972534179688,0.2652446372619909,94.0,375.0,13.157377098689896,12.486670664665867,1.0537137922538438,13.664291860852952,1.0040902369450753,14.131843083364268,0.3926990915087665,0.7853981633974484,22.77654730750845,139.1838381268047,10.57838785670006,0.8283682756805912,1.5707963267948966,272.5331626989145,0.7921883492481466,1.5707963267948966,274.8893571891069,B. suaveolens
250826_BS_001_L,4867.4910143327625,3.328974123477288,0.9861878453038674,,,,-7905.0,60.0,295.0,57.4954992621654,52.77879499291546,1.0893674110953664,24.69253519954889,41.07026731190474,44.56551568663639,0.4133674636624396,1.5707963267948966,47.12389085751811,232.64775815217396,4.046364691805826,0.8664313072400422,2.356194490192345,218.34068942449065,0.7929865514495975,1.5707963267948966,164.14821615006667,B. suaveolens
250826_BS_002_L,2492.685308689025,299.9183410276971,1.2240184757505774,115.54705021059546,40.80697038756011,51.75407028198242,0.1163123894534642,82.0,287.0,5.838042351185799,5.616478396462899,1.0394489107022,28.37014156842925,31.38779841328334,31.5012681235864,0.2617994000919802,0.7853981633974484,6.283185602207526,137.8660486297113,23.61511622157186,0.8275986617292515,2.356194490192345,277.24555167929924,0.827688833734234,2.356194490192345,215.19909677090084,B. suaveolens
250826_BS_003_L,2971.437533226237,1.76737871011113,1.0649350649350648,,,,-17122.0,102.0,449.0,39.44185344928539,38.59226604939089,1.022014447112465,5.169456850515063,10.628105712180448,10.820621090338586,0.1582097185045453,0.7853981633974484,21.9911508721318,205.78813105427747,5.217506609289578,0.8787127966723928,1.5707963267948966,354.99996985564667,0.8125589068002418,1.5707963267948966,281.9579406596839,B. suaveolens
250826_BS_004_L,2888.4223090277787,1.522243739002281,0.6357894736842106,,,,-19943.0,92.0,262.0,7.861191896731681,6.860659935823627,1.1458361105589383,13.069780485497583,15.051923212077885,15.162064664893682,0.589048626938383,1.5707963267948966,14.137167046521192,170.33854166666669,21.668284390498798,0.8753090642577622,2.356194490192345,259.9667920845554,0.8292186617844305,2.356194490192345,193.2079481957723,B. suaveolens
250826_BS_005_L,2144.193407242673,1.6515016003465488,0.3638170974155069,0.6470679344605075,0.4575461036587441,0.0,-11521.5,98.0,300.0,10.540749094418752,8.90877801536041,1.1831868608965803,14.339995397644255,16.53601379533359,16.647202267307335,0.6544984699996219,1.5707963267948966,27.48893573998412,142.57063489279847,13.525664411107988,0.8181230868723421,1.5707963267948966,215.9844949342983,0.8598755754437581,1.5707963267948966,199.4911335029519,B. suaveolens
