species,tortuosity,curvature_mean_rad,curv_per_len
B. suaveolens,0.45898530815774446,0.2898381820495125,0.6122849010764677
C. annuum var. grossum,-0.39469662034141634,-0.05228006699439605,-0.2514220466832565
L. chinense Mill.,-0.2714879885990067,-0.3434746065174238,0.22222995884253877
P. × hybrida ‘Dreams Red’,-0.2782335135587595,0.2577804356075768,-0.5670108657183717
P. alkekengi var. franchetii,-0.3892975359955794,-0.03894278881550964,-0.1371162678196984
S. nigrum,-0.3947767791932753,-0.14486499086823168,-0.24626984312697514
